Date,Open,High,Low,Close,Adj Close,Volume
2021-09-01,2913.000000,2936.409912,2912.290039,2916.840088,2916.840088,791200
2021-09-02,2918.989990,2926.500000,2882.129883,2884.379883,2884.379883,1092200
2021-09-03,2882.919922,2907.540039,2870.100098,2895.500000,2895.500000,955200
2021-09-07,2894.989990,2916.479980,2890.820068,2910.379883,2910.379883,758500
2021-09-08,2907.870117,2911.020020,2884.000000,2897.669922,2897.669922,774300
2021-09-09,2897.669922,2913.389893,2888.679932,2898.270020,2898.270020,739900
2021-09-10,2908.870117,2920.379883,2834.830078,2838.419922,2838.419922,1644800
2021-09-13,2864.020020,2883.820068,2845.649902,2869.300049,2869.300049,1008800
2021-09-14,2883.219971,2894.550049,2858.110107,2868.120117,2868.120117,945800
2021-09-15,2875.179932,2911.629883,2845.120117,2904.120117,2904.120117,1032400
2021-09-16,2902.419922,2904.000000,2868.326904,2887.469971,2887.469971,1014600
2021-09-17,2875.969971,2884.989990,2821.229980,2829.270020,2829.270020,3002000
2021-09-20,2780.003906,2787.250000,2741.060059,2780.340088,2780.340088,1745900
2021-09-21,2802.340088,2816.231934,2778.110107,2792.929932,2792.929932,906500
2021-09-22,2801.010010,2831.669922,2789.435059,2818.770020,2818.770020,1103400
2021-09-23,2832.189941,2845.049072,2821.929932,2836.530029,2836.530029,863600
2021-09-24,2818.919922,2858.070068,2817.010010,2852.659912,2852.659912,747500
2021-09-27,2831.709961,2850.000000,2810.000000,2830.020020,2830.020020,942200
2021-09-28,2781.770020,2792.129883,2714.000000,2723.679932,2723.679932,2109500
2021-09-29,2742.194092,2747.969971,2685.000000,2690.419922,2690.419922,1316900
